Date,Open,High,Low,Close,Adj Close,Volume
2011-03-16,128.149994,128.570007,125.279999,126.180000,110.475395,468670300
2011-03-17,128.000000,128.389999,127.099998,127.849998,111.937538,254303700
2011-03-18,128.839996,128.880005,127.510002,127.760002,112.344673,230435400
2011-03-21,129.350006,130.009995,129.199997,129.740005,114.085785,153992600
2011-03-22,129.720001,129.889999,129.169998,129.289993,113.690071,129538600
2011-03-23,128.929993,130.000000,128.320007,129.660004,114.015427,148603100
2011-03-24,130.399994,131.089996,129.669998,130.899994,115.105804,159129800
2011-03-25,131.240005,131.869995,130.889999,131.300003,115.457550,155642800
2011-03-28,131.580002,131.919998,130.940002,130.979996,115.176178,109762400
2011-03-29,130.869995,131.899994,130.440002,131.860001,115.949989,129798800
2011-03-30,132.550003,133.160004,132.360001,132.770004,116.750198,135835000
2011-03-31,132.600006,132.960007,132.449997,132.589996,116.591881,132537100
2011-04-01,133.410004,133.770004,132.830002,133.149994,117.084328,153850100
2011-04-04,133.429993,133.669998,132.880005,133.259995,117.181030,100768900
2011-04-05,133.000000,133.830002,132.940002,133.240005,117.163483,120791500
2011-04-06,133.880005,134.000000,133.119995,133.660004,117.532799,120411600
2011-04-07,133.419998,133.979996,132.660004,133.320007,117.233826,170731500
2011-04-08,133.910004,133.990005,132.309998,132.860001,116.829323,147945400
2011-04-11,133.000000,133.449997,132.139999,132.460007,116.477585,121385400
2011-04-12,131.720001,131.979996,130.990005,131.470001,115.607033,161187400
2011-04-13,132.080002,132.179993,130.960007,131.460007,115.598236,162059000
2011-04-14,130.699997,131.759995,130.270004,131.559998,115.686165,161220400
2011-04-15,131.800003,132.369995,131.410004,132.039993,116.108238,170006700
2011-04-18,130.589996,132.029999,129.509995,130.559998,114.806847,210759300
2011-04-19,130.759995,131.350006,130.440002,131.309998,115.466331,124258800
2011-04-20,132.880005,133.389999,132.789993,133.100006,117.040390,156133800
2011-04-21,133.789993,133.839996,133.100006,133.779999,117.638321,135935400
2011-04-25,133.679993,133.860001,133.199997,133.639999,117.515205,65757100
2011-04-26,134.050003,135.059998,133.910004,134.789993,118.526443,146600000
2011-04-27,135.050003,135.869995,134.500000,135.669998,119.300270,143031000
2011-04-28,135.429993,136.289993,135.410004,136.110001,119.687180,124791100
2011-04-29,136.160004,136.570007,135.979996,136.429993,119.968582,115094100
2011-05-02,137.070007,137.179993,135.949997,136.220001,119.783913,126278700
2011-05-03,135.960007,136.190002,135.039993,135.729996,119.353058,138375000
2011-05-04,135.669998,135.729996,134.229996,134.830002,118.561615,182678500
2011-05-05,134.080002,134.949997,133.020004,133.610001,117.488838,226900000
2011-05-06,134.940002,135.630005,133.679993,134.199997,118.007652,222787200
2011-05-09,134.190002,135.110001,133.979996,134.720001,118.464890,114104500
2011-05-10,135.169998,136.110001,135.000000,135.869995,119.476135,114806900
2011-05-11,135.669998,135.690002,133.820007,134.440002,118.218681,193564200
2011-05-12,134.080002,135.360001,133.389999,135.080002,118.781456,171550700
2011-05-13,135.149994,135.339996,133.559998,134.039993,117.866974,157444900
2011-05-16,133.559998,134.610001,132.970001,133.190002,117.119499,141675400
2011-05-17,132.690002,133.350006,132.119995,133.169998,117.101936,192686200
2011-05-18,133.240005,134.500000,132.949997,134.360001,118.148323,135217900
2011-05-19,134.800003,135.029999,133.940002,134.679993,118.429710,119489500
2011-05-20,134.330002,134.679993,133.360001,133.610001,117.488838,182594900
2011-05-23,131.979996,132.720001,131.589996,132.059998,116.125839,168700000
2011-05-24,132.440002,132.729996,131.699997,131.949997,116.029114,147199600
2011-05-25,131.419998,132.940002,131.380005,132.389999,116.416046,151050100
2011-05-26,132.029999,133.240005,131.779999,133.000000,116.952423,164850000
2011-05-27,133.369995,133.869995,132.960007,133.509995,117.400894,120921900
2011-05-31,134.770004,134.919998,133.839996,134.899994,118.623161,164731200
2011-06-01,134.509995,134.919998,131.759995,131.869995,115.958794,233094300
2011-06-02,131.960007,132.240005,130.960007,131.729996,115.835648,200466800
2011-06-03,130.149994,131.419998,130.080002,130.419998,114.683754,234690200
2011-06-06,130.089996,130.360001,128.869995,129.039993,113.470238,179951200
2011-06-07,129.699997,130.070007,128.850006,128.960007,113.399910,161660500
2011-06-08,128.759995,129.190002,128.179993,128.419998,112.925034,198696400
